nm_candidato,display_name,ig_handle,fb_handle,uf,ig_status,fb_status,observacoes
VANDERLEI MACRIS,VANDERLEI MACRIS,vanderleimacris,vanderleimacris,SP,Validado,Validado,
VICENTE ALVES DE OLIVEIRA JUNIOR,VICENTINHO JUNIOR,vicentinhojunior,VicentinhoJr,TO,Validado,Validado,
VICENTE PAULO DA SILVA,VICENTINHO,vicentinho_pt,DeputadoFederalVicentinho,SP,Validado,Validado,
VILSON LUIZ DA SILVA,VILSON DA FETAEMG,vilsondafetaemg,VilsondaFetaemg,MG,Validado,Validado,
VINICIUS LAZZER POIT,VINICIUS POIT,viniciuspoit,viniciuspoit,SP,Validado,Validado,
VINICIUS MEDEIROS FARAH,VINÍCIUS FARAH,vinicius.farah,farah.vinicius,RJ,Validado,Validado,
VINICIUS RAPOZO DE CARVALHO,VINICIUS CARVALHO,viniciuscarvalhooficial,ViniciusCarvalhoOficial,SP,Validado,Validado,
VINÍCIUS DE AZEVEDO GURGEL,VINÍCIUS,,,AP,Validado,Validado,Não achei nenhum.
VITOR HUGO DE ARAUJO ALMEIDA,MAJOR VITOR HUGO,majorvitorhugo,DeputadoVitorHugo,GO,Validado,Validado,
VITOR LIPPI,VITOR LIPPI,vitorlippi,vitorlippi,SP,Validado,Validado,
WAGNER BACH MARTINS,VAVÁ MARTINS,vavamartinsoficial,vavamartinsoficial,PA,Validado,Validado,
WAGNER MONTES DOS SANTOS,WAGNER MONTES,,,RJ,Validado,Validado,Acho que morreu
WAGNER SOUSA GOMES,CAPITÃO WAGNER,capitaowagnersousa,capitaowagnersousa,CE,Validado,Validado,
WALDENOR ALVES PEREIRA FILHO,WALDENOR PEREIRA,,deputadowaldenorpereira,BA,Validado,Validado,Não achei insta
WALDIR SOARES DE OLIVEIRA,DELEGADO WALDIR,,,GO,Validado,Validado,Facebook Handle delegado.waldir inacessível. Instagram Handle delegadowaldir inacessível. Parece que ambas por decisão judicial. Existe um perfil insta alternativo delegadowaldir_
WALTER PEREIRA ALVES,WALTER ALVES,walteralvesrn,WalterAlves1511,RN,Validado,Validado,
WELITON FERNANDES PRADO,WELITON PRADO,weliton.prado,welitonpradodeputado,MG,Validado,Validado,
WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,WLADIMIR GAROTINHO,@wladimirgarotinho,wladimirgarotinhoo,RJ,Validado,Validado,
WOLNEY QUEIROZ MACIEL,WOLNEY QUEIROZ,wolneyqueiroz,wolneyqueirozpe,PE,Validado,Validado,
ZACARIAS CALIL HAMU,DR. ZACARIAS CALIL,drzachariascalil,drzachariascalil,GO,Validado,Validado,
ÁTILA FREITAS LIRA,ÁTILA LIRA,atilaliraoficial,deputadoatilalira,PI,Validado,Validado,Facebook Handle atilalira4040 inacessível
ÁUREA CAROLINA DE FREITAS E SILVA,AUREA CAROLINA,aureacarolina,aureacarolina,MG,Validado,Validado,
ÉDER MAURO CARDOSO BARRA,DELEGADO ÉDER MAURO,edermauropa,edermauropa,PA,Validado,Validado,
